upedonid,MO,MOGr,LU,MOGrLU,rcasiteid,upedon,Sample_count,SOCstock5,SOCstock30,SOCstock100,total_thickness,SOC_count,Lab_count,Depth_to_R,Non-R_SampleCount,SOC_thickness,USE,RaCA_Id,Gen_lat,Gen_long
C1610X98-1,16,1610,X,1610X,C1610X98,C1610X981,5,13.4821520768962,30.9758271987854,39.8235040867072,100,5,5,,5,100,100.0,C1610X98,33.71,-90.06
2011-MO207-C1610X99-1,16,1610,X,1610X,C1610X99,C1610X991,4,10.7363416207775,37.0081664481296,61.4076621474172,100,4,4,,4,100,100.0,C1610X99,36.87,-90.06
C1611C01-1,16,1611,C,1611C,C1611C01,C1611C011,7,5.09329090718474,19.589957096651602,27.3335365383352,208,5,7,,7,119,100.0,C1611C01,33.95,-91.67
C1611C02-1,16,1611,C,1611C,C1611C02,C1611C021,6,6.11711163818809,20.134038918313998,30.6995456219,100,6,6,,6,100,100.0,C1611C02,34.82,-89.53
C1611C04-1,16,1611,C,1611C,C1611C04,C1611C041,4,8.98354486745,21.6025236613483,34.562733955475395,100,4,4,,4,100,100.0,C1611C04,35.5,-89.57
C1611C05-1,16,1611,C,1611C,C1611C05,C1611C051,4,9.35418964998032,23.1414830758963,39.3289990940612,100,4,4,,4,100,100.0,C1611C05,35.91,-88.98
2011-AR123-C1611C08-1,16,1611,C,1611C,C1611C08,C1611C081,5,6.3759487519867095,14.499131956097601,23.9985603529406,100,5,5,,5,100,100.0,C1611C08,34.95,-90.9
C1611F02-1,16,1611,F,1611F,C1611F02,C1611F021,5,18.366051205233102,77.739495291179,94.3778298811714,203,4,5,,5,132,100.0,C1611F02,32.79,-94.91
C1611F03-1,16,1611,F,1611F,C1611F03,C1611F031,6,6.19227996120904,25.071868304299397,,150,5,6,,6,90,30.0,C1611F03,33.35,-93.45
C1611F04-1,16,1611,F,1611F,C1611F04,C1611F041,4,30.799301306747697,53.0808893255478,72.68203263638951,100,4,4,,4,100,100.0,C1611F04,31.15,-91.42
C1611F05-1,16,1611,F,1611F,C1611F05,C1611F051,4,15.086590523689999,66.42914843154351,81.0369300863268,67,4,4,,4,67,100.0,C1611F05,35.65,-93.71
C1611F06-1,16,1611,F,1611F,C1611F06,C1611F061,4,13.889892005586699,32.0207121622083,41.580030791465,52,3,4,,4,52,100.0,C1611F06,36.06,-92.59
2011-MO221-C1611F10-1,16,1611,F,1611F,C1611F10,C1611F101,6,7.24930863363716,25.5772589751833,,100,5,6,,6,99,30.0,C1611F10,37.86,-91.1
C1611F13-1,16,1611,F,1611F,C1611F13,C1611F131,5,10.503866725195198,32.710140348425796,48.97253866048101,100,5,5,,5,100,100.0,C1611F13,36.75,-88.83
C1611F14-1,16,1611,F,1611F,C1611F14,C1611F141,5,17.0865986126997,41.8664802400538,55.97757471541579,100,5,5,,5,100,100.0,C1611F14,36.77,-88.21
C1611F15-1,16,1611,F,1611F,C1611F15,C1611F151,6,9.106725823770539,25.768773718635,51.67003634567579,200,5,6,,6,125,100.0,C1611F15,31.81,-95.74
C1611F16-1,16,1611,F,1611F,C1611F16,C1611F161,5,11.2821821204142,26.333577471201,37.1389728246845,150,5,5,,5,150,100.0,C1611F16,33.24,-93.37
C1611F17-1,16,1611,F,1611F,C1611F17,C1611F171,7,12.934479720680802,35.634408215648,46.9097735406363,84,6,7,84.0,6,84,100.0,C1611F17,34.2,-93.39
C1611F18-1,16,1611,F,1611F,C1611F18,C1611F181,5,21.041071626426803,78.7674649886003,107.550961604492,100,5,5,,5,100,100.0,C1611F18,36.86,-88.2
C1611F19-1,16,1611,F,1611F,C1611F19,C1611F191,6,12.390329676714199,32.222272089,43.5521598556884,150,6,6,,6,150,100.0,C1611F19,33.17,-93.29
C1611F20-1,16,1611,F,1611F,C1611F20,C1611F201,6,10.1661106012204,39.9492628256238,60.53773436825029,90,5,6,81.0,5,81,100.0,C1611F20,34.54,-94.54
C1611F22-1,16,1611,F,1611F,C1611F22,C1611F221,4,22.4583550447602,45.5102678918647,58.150855538486006,100,4,4,,4,100,100.0,C1611F22,35.63,-89.7
C1611F25-1,16,1611,F,1611F,C1611F25,C1611F251,5,54.818758285887206,80.9770366556695,92.0250694926685,60,5,5,,5,60,100.0,C1611F25,34.32,-92.76
C1611F26-1,16,1611,F,1611F,C1611F26,C1611F261,5,17.8528727500642,52.23659768285479,68.8807457888648,67,4,5,,5,67,100.0,C1611F26,37.28,-93.14
C1611F27-1,16,1611,F,1611F,C1611F27,C1611F271,9,178.720245072882,210.351625793582,232.70127452886,162,6,9,162.0,8,109,100.0,C1611F27,34.51,-92.23
2011-MO123-C1611F28-1,16,1611,F,1611F,C1611F28,C1611F281,5,6.45415656416212,24.624515929839802,,56,4,5,,5,55,30.0,C1611F28,37.56,-90.37
C1611F29-1,16,1611,F,1611F,C1611F29,C1611F291,6,11.2378615571117,40.9999095050135,63.17735523145289,69,5,6,69.0,5,69,100.0,C1611F29,35.53,-92.77
C1611F30-1,16,1611,F,1611F,C1611F30,C1611F301,4,9.17665417649244,40.4799450129117,55.117823595087096,69,4,4,,4,69,100.0,C1611F30,35.74,-92.25
C1611F31-1,16,1611,F,1611F,C1611F31,C1611F311,6,8.86058159970805,28.108894524935003,44.931461219167396,100,6,6,,6,100,100.0,C1611F31,31.55,-92.22
